Type,sku,short_description,description,part_number,focus_keyword,meta_description,_supplier_name,_supplier_price,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_17,specification_17,Civil Defence Approved
,ps00002,Corrugated Brown Box Single Wall - 3 Ply,"Single Wall boxes have one fluted medium sandwiched between two sheets of brown Kraft paper. These are the most common style of corrugated cardboard. Single wall boxes are suitable for majority of lightweight items being packed or stored. If you are sending items through the courier, single wall boxes are a cost effective option as they offer protection and they are lightweight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00003,Corrugated Brown Box Double Wall - 5 Ply,"Double Wall (5 Ply) as the name implies, has two fluted mediums sandwiched between three sheets of brown Kraft paper. Our Double-Wall boxes can be stacked for longer periods of time than single wall while resisting crushing and compressing. U-Pack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00004,Corrugated Brown Box Triple Wall - 7 Ply,"Triwall (7 Ply) boxes are strong enough to be a substitute for wood. These boxes are traditionally used for shipping heavy duty items such as metal parts, chemicals, export, etc. This type of corrugated design is commonly used for larger containers. At U-Pack, Triple Wall boxes are the strongest form of a corrugated case made from heavy duty board.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00005,White Box Single Wall - 3 Ply,Our White single wall (3 Ply) boxes have one fluted mediums sandwiched between two sheets of Kraft paper. The white colour of the top Kraft paper imparts the boxes a premium look and feel. Single wall boxes are suitable for majority of lightweight items being packed or stored. If you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00006,Tuck-In-Flap White Mailing Box,"When the lid is opened and lifted, the back of the box opens up to allow easy access to the product being shipped. Tuck-in-Flap corrugated boxes sometimes called Corrugated Mailers or Mailing Boxes or Shipping Boxes are perfect for any subscription type business, presentation box, sales kit or great for any gift idea. The front flap locks into the main body and the tuck in flaps lock in the box adding overall strength to the design. Communicate your brand by custom printing these for your branded messaging and look.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00007,Gift Box with Lid,Made of 5 ply Heavy-Duty corrugated sheet. Brown Kraft color inside and outside. The sizes shown are the External dimensions: (Length x Width x Height) cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00008,Transparent Plastic Box,"Have you ever wondered why plastic is used extensively for packaging actually for almost everything? Plastic packaging is so durable, plastic packaging can be very thin. This means it uses fewer resources and takes up less space for transport which means fewer trucks, trains, or planes are needed to transport it. Plastics can be transformed in many different ways.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00009,Gift Box Kraft,Our high-quality recyclable brown kraft gift boxes have a smooth charming look and a natural rustic finish. Our boxes come with a reinforced paperboard increasing the holding capacity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00010,File Shipping Box 5 Ply,Archive boxes are easier to use as these come with a base box and lid to cover the top shelf. Archive boxes even have some space on the opposite sides making it easy for us to lift them. When using Archive boxes the party has to face no hassle at all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00011,Handle Box Brown,"Handle boxes serve for numerous purposes. They can be used for gift packaging, candle packaging, food packaging, and so on. The handle on top of these boxes makes them convenient and easy to handle. These boxes can be customized in all shapes and sizes according to your requirement. High tech printing variations can also be applied to these boxes to make them more useful for the product inside as well as give them a fascinating and alluring outlook.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
