sku,price
fs05023817,262
fs05023818,246
fs05023819,23
fs05023820,125
fs05023821,79
fs05023822,83
fs05023823,234
fs05023824,413
fs05023825,446
fs05023826,446
fs05023827,413
fs05023828,424
fs05023829,346
fs05023830,324
fs05023831,324
fs05023832,324
fs05023833,79
fs05023834,116
fs05023835,140
fs05023836,172
fs05023837,255
fs05023838,355
fs05023839,45
fs05023840,50
fs05023841,43
fs05023842,47
fs05023843,1271
fs05023844,1538
fs05023845,1839
fs05023846,346.32
fs05023847,503.1
fs05023848,760.5
fs05023849,1099.8
fs05023850,1012.05
fs05023851,67.86
fs05023852,274.95
fs05023853,30.42
fs05023854,28.08
fs05023855,28.08
fs05023856,60.84
fs05023857,216.45
fs05023858,152.1
fs05023859,182.52
fs05023860,5850
fs05023861,490.2885
fs05023862,534.8538
fs05023863,479.1384
fs05023864,512.577
fs05023865,3599.1423
fs05023866,3632.5692
fs05023867,3877.7193
fs05023868,4267.7154
fs05023869,3833.1423
fs05023870,579.4308
fs05023871,1058.5692
fs05023872,2228.5692
fs05023873,274.1193
fs05023874,318.6846
fs05023875,161.577
fs05023876,161.577
fs05023877,161.577
fs05023878,161.577
fs05023879,178.2846
fs05023880,178.2846
fs05023881,178.2846
fs05023882,196.1154
fs05023883,1002.8538
fs05023884,1103.1462
fs05023885,1203.4269
fs05023886,1203.4269
fs05023887,1203.4269
fs05023888,1203.4269
fs05023889,1337.1462
fs05023890,1337.1462
fs05023891,1114.2846
fs05023892,1114.2846
fs05023893,1114.2846
fs05023894,1114.2846
fs05023895,1225.7154
fs05023896,1225.7154
fs05023897,334.2807
fs05023898,367.7193
fs05023899,198.3384
fs05023900,198.3384
fs05023901,198.3384
fs05023902,198.3384
fs05023903,218.4039
fs05023904,218.4039
fs05023905,205.0308
fs05023906,225.0846
fs05023907,242.9154
fs05023908,242.9154
fs05023909,242.9154
fs05023910,242.9154
fs05023911,267.4269
fs05023912,267.4269
fs05023913,155.9961
fs05023914,155.9961
fs05023915,155.999961
fs05023916,155.999961
fs05023917,169.371423
fs05023918,169.371423
fs05023919,2050.28577
fs05023920,2050.28577
fs05023921,2050.28577
fs05023922,2050.28577
fs05023923,2172.85731
fs05023924,2172.85731
fs05023925,140.4
fs05023926,144.857115
fs05023927,2429.1423
fs05023928,2429.1423
fs05023929,2429.1423
fs05023930,2429.1423
fs05023931,2663.1423
fs05023932,2663.1423
fs05023933,2858.1462
fs05023934,2858.1462
fs05023935,2858.1462
fs05023936,2858.1462
fs05023937,3142.2807
fs05023938,3142.2807
fs05023939,289.7154
fs05023940,3075.4269
fs05023941,3075.4269
fs05023942,3075.4269
fs05023943,3075.4269
fs05023944,3381.8616
fs05023945,3381.8616
fs05023946,3498.8616
fs05023947,3498.8616
fs05023948,3498.8616
fs05023949,3498.8616
fs05023950,3849.8616
fs05023951,3849.8616
fs05023952,401.1462
fs05023953,4601.9961
fs05023954,4189.7115
fs05023955,4189.7115
fs05023956,4189.7115
fs05023957,4601.9961
fs05023958,4601.9961
fs05023959,5838.8616
fs05023960,5526.8577
fs05023961,5526.8577
fs05023962,5526.8577
fs05023963,5838.8616
fs05023964,5838.8616
fs05023965,1337.1462
fs05023966,295.2846
fs05023967,623.9961
fs05023968,702
fs05023969,5214.8538
fs05023970,5214.8538
fs05023971,5214.8538
fs05023972,5214.8538
fs05023973,5727.4308
fs05023974,5727.4308
fs05023975,6106.2885
fs05023976,6106.2885
fs05023977,6106.2885
fs05023978,6106.2885
fs05023979,6707.99961
fs05023980,6707.99961
fs05023981,596.1384
fs05023982,646.2846
fs05023983,7064.577
fs05023984,6663.4308
fs05023985,6663.4308
fs05023986,6663.4308
fs05023987,7064.577
fs05023988,7064.577
fs05023989,8401.7115
fs05023990,8000.577
fs05023991,8000.577
fs05023992,8000.577
fs05023993,8401.7115
fs05023994,8401.7115
fs05023995,804.5154
fs05023996,869.1462
fs05023997,6864.0039
fs05023998,6864.0039
fs05023999,6864.0039
fs05024000,6864.0039
fs05024001,7320.8538
fs05024002,7320.8538
fs05024003,7733.1384
fs05024004,7733.1384
fs05024005,7733.1384
fs05024006,7733.1384
fs05024007,8167.7115
fs05024008,8167.7115
fs05024009,852.4269
fs05024010,8312.5692
fs05024011,7800.0039
fs05024012,7800.0039
fs05024013,7800.0039
fs05024014,8312.5692
fs05024015,8312.5692
fs05024016,991.7154
fs05024017,1036.2807
fs05024018,8201.1384
fs05024019,8201.1384
fs05024020,8201.1384
fs05024021,8201.1384
fs05024022,8763.8616
fs05024023,8763.8616
fs05024024,980.577
fs05024025,12524.5692
fs05024026,11978.577
fs05024027,11978.577
fs05024028,11978.577
fs05024029,12524.5692
fs05024030,12524.5692
fs05024031,1365.0039
fs05024032,1493.1423
