ID	Type	SKU	Name	Product Code	size	color	pcs	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Low stock amount	Backorders allowed?	Sold individually?	Weight (kg)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	feature1	feature2	feature3	feature4	feature5	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position						
	simple	pack-3-0002	Hotpack - Zipper Lock Bag 10 x 15cm - 10PKT x 100PC	ZLB1015	10 x 15CM	Clear	100 pcs x 10 packet	1	0	visible	Hotpack - Zipper Lock Bag 10 x 15CM - 10PKT x 100PC	Hotpack - Zipper Lock Bag 10 x 15CM - 10PKT x 100PC - Hotpack Zipper Bags are ready to hold a variety of different sized items. These bags are just the right size for storing leftovers, organizing tools, or saving important items. Useful for traveling, zipper bags help keep your toiletries, electronics, and accessories organized and protected. Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together. Using Zipper bags give an extra level of protection for your food and for your things. It helps to keep your favorite foods fresh in the freezer or refrigerator until you’re ready to enjoy them.				taxable		1			0	0					1		660	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-10-x-15cm-10pkt-x-100pc.jpg	Hotpack Zipper Bags are ready to hold a variety of different sized items.	These bags are just the right size for storing leftovers, organizing tools, or saving important items	Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together.	Using Zipper bags give an extra level of protection for your food and for your things										0						
	simple	pack-3-0003	Hotpack - Zipper Lock Bag 10cm x 19cm - 50 pcs x 24 packets	ZLB1019	10cm x 19cm	Clear	50 pcs x 24 packets	1	0	visible	Hotpack - Zipper Lock Bag 10cm x 19cm - 50 pcs x 24 packets	Hotpack - Zipper Lock Bag 10cm x 19cm - 50 pcs x 24 packets - Hotpack Zipper Bags are ready to hold a variety of different sized items. These bags are just the right size for storing leftovers, organizing tools, or saving important items. Useful for traveling, zipper bags help keep your toiletries, electronics, and accessories organized and protected. Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together. Using Zipper bags give an extra level of protection for your food and for your things. It helps to keep your favorite foods fresh in the freezer or refrigerator until you’re ready to enjoy them.				taxable		1			0	0					1		2112	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-10cm-x-19cm-50-pcs-x-24-packets.jpg	Hotpack Zipper Bags are ready to hold a variety of different sized items.	These bags are just the right size for storing leftovers, organizing tools, or saving important items	Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together.	Using Zipper bags give an extra level of protection for your food and for your things										0						
	simple	pack-3-0004	Hotpack - Zipper Lock Bag 12cm x 25cm - 50 pcs x 24 packets	ZLB1225	12cm x 25cm 	Clear	 50 pcs x 24 packets	1	0	visible	Hotpack - Zipper Lock Bag 12cm x 25cm - 50 pcs x 24 packets	Hotpack - Zipper Lock Bag 12cm x 25cm - 50 pcs x 24 packets - Keep the food healthy and ready for use with Zipper Lock Bag Hotpack! These sturdy bags are a perfect way to store space-saving leftover entries, fruits, dried foods and more. Its special interlocking double zipper seals to firmly lock in freshness, and a simple write-on label allows for quick identification of contents and dates of use. In addition, the self-dispensing cardboard and grip strip openings allow these bags easy to grab and use in your busy commercial kitchen! Not recommended for storing liquids or for microwave use.				taxable		1			0	0					1		2508	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-12cm-x-25cm-50-pcs-x-24-packets.jpg	Biodegradable Matrial	Sturdy building, of high quality	Zipper interlocking to ensure freshness											0						
	simple	pack-3-0005	Hotpack - Zipper Lock Bag 15cm x 20cm - 100 pcs x 10 packets	ZLB1520	15cm x 20cm	Clear	100 pcs x 10 packets	1	0	visible	Hotpack - Zipper Lock Bag 15cm x 20cm - 100 pcs x 10 packets	Hotpack - Zipper Lock Bag 15cm x 20cm - 100 pcs x 10 packets - Hotpack Zipper Bags are ready to hold a variety of different sized items. These bags are just the right size for storing leftovers, organizing tools, or saving important items. Useful for traveling, zipper bags help keep your toiletries, electronics, and accessories organized and protected. Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together. Using Zipper bags give an extra level of protection for your food and for your things. It helps to keep your favorite foods fresh in the freezer or refrigerator until you’re ready to enjoy them.				taxable		1			0	0					1		1100	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-15cm-x-20cm-100-x-10-packets.jpg	Hotpack Zipper Bags are ready to hold a variety of different sized items.	These bags are just the right size for storing leftovers, organizing tools, or saving important items	Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together.	Using Zipper bags give an extra level of protection for your food and for your things										0						
	simple	pack-3-0006	Hotpack - Zipper Lock Bag 18cm x 21cm - 20 pcs x 24 packets	ZLB1821	18cm x 21cm	Clear	 20 pcs x 24 packets	1	0	visible	Hotpack - Zipper Lock Bag 18cm x 21cm - 20 pcs x 24 packets	Hotpack - Zipper Lock Bag 18cm x 21cm - 20 pcs x 24 packets - Hotpack Zipper Bags are ready to hold a variety of different sized items. These bags are just the right size for storing leftovers, organizing tools, or saving important items. Useful for traveling, zipper bags help keep your toiletries, electronics, and accessories organized and protected. Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together. Using Zipper bags give an extra level of protection for your food and for your things. It helps to keep your favorite foods fresh in the freezer or refrigerator until you’re ready to enjoy them.				taxable		1			0	0					1		2640	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-18cm-x-21cm-20-pcs-x-24-packets.jpg	Hotpack Zipper Bags are ready to hold a variety of different sized items.	These bags are just the right size for storing leftovers, organizing tools, or saving important items	Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together.	Using Zipper bags give an extra level of protection for your food and for your things										0						
	simple	pack-3-0007	Hotpack - Zipper Lock Bag 23cm x 30cm - 100 pcs x 10 packets 	ZLB2330	23cm x 30cm	Clear	100 pcs x 10 packets 	1	0	visible	Hotpack - Zipper Lock Bag 23cm x 30cm - 100 pcs x 10 packets 	Hotpack - Zipper Lock Bag 23cm x 30cm - 100 pcs x 10 packets - Keep the food healthy and ready for use with Zipper Lock Bag Hotpack! These sturdy bags are a perfect way to store space-saving leftover entries, fruits, dried foods and more. Its special interlocking double zipper seals to firmly lock in freshness, and a simple write-on label allows for quick identification of contents and dates of use. In addition, the self-dispensing cardboard and grip strip openings allow these bags easy to grab and use in your busy commercial kitchen! Not recommended for storing liquids or for microwave use.				taxable		1			0	0					1		2200	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-23cm-x-30cm-100-pcs-x-10-packets.jpg	Biodegradable Matrial	Sturdy building, of high quality	Zipper interlocking to ensure freshness											0						
	simple	pack-3-0008	Hotpack - Zipper Lock Bag 27cm x 30cm - 20 pcs x 24 packets  	ZLB2730	27cm x 30cm	Clear	20 pcs x 24 packets  	1	0	visible	Hotpack - Zipper Lock Bag 27cm x 30cm - 20 pcs x 24 packets  	Hotpack - Zipper Lock Bag 27cm x 30cm - 20 pcs x 24 packets - Hotpack Zipper Bags are ready to hold a variety of different sized items. These bags are just the right size for storing leftovers, organizing tools, sandwich bags or saving important items. Useful for travelling, zipper bags help keep your toiletries, electronics, and accessories organized and protected. Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothing items, puzzles, and toys together. Using Zipper bags give an extra level of protection for your food and for your things.It helps to keep your favourite foods fresh in the freezer or refrigerator until you’re ready to enjoy them.				taxable		1			0	0					1		3828	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-27cm-x-30cm-20-pcs- x-24 packets.jpg  	Hotpack Zipper Bags are ready to hold a variety of different sized items.	These bags are just the right size for storing leftovers, organizing tools, or saving important items	Zipper bags are also an ideal size for keeping your kids’ school supplies, small clothes items, puzzles, and toys together.	Using Zipper bags give an extra level of protection for your food and for your things										0						
	simple	pack-3-0009	Hotpack - Zipper Lock Bag 30cm x 40cm - 100 pcs x 10 packets  	ZLB3040	30cm x 40cm	Clear	100 pcs x 10 packets  	1	0	visible	Hotpack - Zipper Lock Bag 30cm x 40cm - 100 pcs x 10 packets  	Hotpack - Zipper Lock Bag 30cm x 40cm - 100 pcs x 10 packets -  Keep the food healthy and ready for use with Zipper Lock Bag Hotpack! These sturdy bags are a perfect way to store space-saving leftover entries, fruits, dried foods and more. Its special interlocking double zipper seals to firmly lock in freshness, and a simple write-on label allows for quick identification of contents and dates of use. In addition, the self-dispensing cardboard and grip strip openings allow these bags easy to grab and use in your busy commercial kitchen! Not recommended for storing liquids or for microwave use.				taxable		1			0	0					1		3300	Food Packaging > Food Bags > Plastic Bags	Plastic food storage bags		/hotpack-zipper-lock-bag-30cm-x-40cm-100-pcs-x-10-packets.jpg  	Biodegradable Matrial	Sturdy building, of high quality	Zipper interlocking to ensure freshness											0						
	simple	pack-3-0010	Hotpack - Baking Roll 45cm x 75mtr - 6 Rolls	BP4575	45cm x 75mtr	White	6 Rolls	1	0	visible	Hotpack - Baking Roll 45cm x 75mtr - 6 Rolls	Hotpack - Baking Roll 45cm x 75mtr - 6 Rolls - Searching for a natural, eco-friendly parchment paper to assist with all your baking needs? Try this hot pack's unbleached and coated liner sheet instead! The unique coating creates a stick-resistant liner that helps reduce food waste, plus it eliminates the need for spray-on release products--both of which increase efficiency and reduce waste. Grease- and moisture-resistant paper construction ensures durability to use, in addition to the ability to withstand up to 425 degrees Fahrenheit in the oven as well.				taxable		1			0	0					1		990	Food Packaging > Rolls > Paper Rolls	Paper Rolls		/hotpack-baking-roll-45cm-x-75mtr-6-rolls.jpg	100% chlorine-free, natural white paper	Chromium-free coating	Made of food-grade paper, environmental-friendly, safe and hygienic 	It has properties of high heat-resistant, moisture-proof, waterproof, and oil-proof	It is non-stick, so removing your food easily without sticking									0						
	simple	pack-3-0011	Hotpack - Square Cake Board Silver - 50 pcs	CB-8S		Silver	50 pcs	1	0	visible	Hotpack - Square Cake Board Silver - 50 pcs	"Hotpack - Square Cake Board Silver - 50 pcs - Present your personal size treats in style with this hotpack square cake board. This sturdy circle supports your delicious creations and will sit perfectly in any window display or on any table. The innovative side tab will allow you and your patrons to carry the circle with ease. 

Perfect for single-service use, simply throw out the board when finished. This cake board does not show grease stains nor allows grease to seep into the carding drum. So no need to modify your moist cake recipe or refrain from using your signature sweet buttercream icing; this dessert board can handle it!"				taxable		1			0	0					1		1375	Food Packaging > Food Bags > Plastic Bags	spo-disabled, Square Cake Board Silver, WINTER SALE		/hotpack-square-cake-board-silver-50-pcs.jpg	The sturdy foundation supports personal-sized treats	Disposable for an easy cleanup	Resists grease for stain-free usage	Ensures quality, single-service use	Non-metal construction is safe for metal detectors									0						
