Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
variation,ps00001,,Cake Boxes-C1-12x12x7CM Food Board 5psc/Pack -White,,"Boxes made of durable materials such as a food board or corrugated sheet, or of corrugated fiberboard, paperboard, or other non-durable materials. The size may vary from very small (e.g., a matchbox) to the size of a large appliance. A corrugated box is a very common shipping container. When no specific shape is described, a box of rectangular cross-section with all sides flat may be expected, but a box may have a horizontal cross-section that is square, elongated, round, or oval; sloped or domed top surfaces, or vertical edges. They are not always made up of squares.","Boxes made of durable materials such as a food board or corrugated sheet, or of corrugated fiberboard, paperboard, or other non-durable materials. The size may vary from very small (e.g., a matchbox) to the size of a large appliance. A corrugated box is a very common shipping container. When no specific shape is described, a box of rectangular cross-section with all sides flat may be expected, but a box may have a horizontal cross-section that is square, elongated, round, or oval; sloped or domed top surfaces, or vertical edges. They are not always made up of squares.",,1,,,,,Cake Boxes-C1-12x12x7CM Food Board 5psc/Pack -White,"Boxes made of durable materials such as a food board or corrugated sheet, or of corrugated fiberboard, paperboard, or other non-durable materials. The size may vary from very small (e.g., a matchbox) to the size of a large appliance. A corrugated box is a very common shipping container. When no specific shape is described, a box of rectangular cross-section with all sides flat may be expected, but a box may have a horizontal cross-section that is square, elongated, round, or oval; sloped or domed top surfaces, or vertical edges. They are not always made up of squares.",Boxes>Cake Boxes>Cake Boxes 1MM,https://www.duboxx.ae/productFiles/images/duboxx_3504290721_cake-boxes-FB.png,Made from High-Quality Food board,Suitable for holding and protecting cakes or cupcakes,"Available in variety of sizes, each sold separately",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00001-1,ps00001,,,,,,,100,,,12x12x7cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00001-2,ps00001,,,,,,,150,,,22x22x10cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00001-3,ps00001,,,,,,,200,,,27x27x12cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00001-4,ps00001,,,,,,,175,,,30x30x10cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002,,Corrugated Brown Box Single Wall - 3 Ply,,"Single Wall boxes have one fluted medium sandwiched between two sheets of brown Kraft paper. These are the most common style of corrugated cardboard. Single wall boxes are suitable for majority of lightweight items being packed or stored. If you are sending items through the courier, single wall boxes are a cost effective option as they offer protection and they are lightweight.","Single Wall boxes have one fluted medium sandwiched between two sheets of brown Kraft paper. These are the most common style of corrugated cardboard. Single wall boxes are suitable for majority of lightweight items being packed or stored. If you are sending items through the courier, single wall boxes are a cost effective option as they offer protection and they are lightweight.",,,,,,,Corrugated Brown Box Single Wall - 3 Ply,"Single Wall boxes have one fluted medium sandwiched between two sheets of brown Kraft paper. These are the most common style of corrugated cardboard. Single wall boxes are suitable for majority of lightweight items being packed or stored. If you are sending items through the courier, single wall boxes are a cost effective option as they offer protection and they are lightweight.",Boxes>Brown Boxes>Single Wall - 3 Ply,https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/3/2/323b-min.jpg||https://www.upack.in/media/catalog/product/cache/1a5cb7b56cc703e17bb7df121f1b26e5/3/2/323col-min.jpg,Export Quality 3 Ply: Fully Dry & High Strength,Made of single wall C flute corrugated fibreboard,Manufactured using 25 ECT corrugated material,"Great shipping box for gifts, office supplies, electronics, as well as other household items.",100% recyclable: Sustainable & Environmentally Responsible,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-1,ps00002,,,,,,,445.45,,,3L x 2W x 3H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-2,ps00002,,,,,,,522.15,,,6L X 3W X 3H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-3,ps00002,,,,,,,522.74,,,3L x 3W x 3H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-4,ps00002,,,,,,,528.5,,,4L X 4W X 3H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-5,ps00002,,,,,,,703.36,,,7.75L x 4W x 3.5H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00002-6,ps00002,,,,,,,358.56,,,5L X 5W X 3H Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
