Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
variation,ps00028,,General Purpose Masking Tape,,General Purpose Masking Tape,"General Purpose Masking Tape is a pressure-sensitive tape designed with a natural rubber adhesive and a crepe paper backing. This design allows for instant stick and reliable holding, making our General Purpose Masking Tape an excellent solution for most general purpose and entry level paint applications.",,1,,,,,General Purpose Masking Tape,General Purpose Masking Tape,Tape>Masking Tape>Painters Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-1,ps00028,,,,,,,11,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-2,ps00028,,,,,,,9,,,24mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-3,ps00028,,,,,,,9,,,36mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-4,ps00028,,,,,,,9,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-5,ps00028,,,,,,,15,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-6,ps00028,,,,,,,11,,,24mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-7,ps00028,,,,,,,11,,,36mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-8,ps00028,,,,,,,11,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-9,ps00028,,,,,,,21,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-10,ps00028,,,,,,,17,,,24mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-11,ps00028,,,,,,,17,,,36mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00028-12,ps00028,,,,,,,17,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
