Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
variation,ps00027,,General Purpose Masking Tape,,General Purpose Masking Tape,"General Purpose Masking Tape is a pressure-sensitive tape designed with a natural rubber adhesive and a crepe paper backing. This design allows for instant stick and reliable holding, making our General Purpose Masking Tape an excellent solution for most general purpose and entry level paint applications.",,1,,,,,General Purpose Masking Tape,General Purpose Masking Tape,Tape>Masking Tape>Painters Tape,"https://images.salsify.com/image/upload/s--1seRU6sd--/h_1170,w_1170,q_60,cs_srgb/jfks6yaletyfcobwqpgn.jpg||https://images.salsify.com/image/upload/s--9zT3q_j9--/h_1170,w_1170,q_60,cs_srgb/g9ebx7e2uynpbhsnx92i.jpg||https://images.salsify.com/image/upload/s--_4NM8_de--/h_1170,w_1170,q_60,cs_srgb/roy4jbkji3djmhonkcgf.jpg||https://images.salsify.com/image/upload/s--aV9J2AnJ--/h_1170,w_1170,q_60,cs_srgb/ld57b7xbvq1fqm7nkddl.jpg",General purpose crepe tape provides solid coverage,"Ideal for general woodworking, MRO/Construction, paint masking and more",Natural rubber adhesive sticks aggressively and holds confidently,Crepe paper backing conforms to irregular surfaces and around corners,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-1,ps00027,,,,,,,34,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-2,ps00027,,,,,,,27,,,24mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-3,ps00027,,,,,,,27,,,36mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-4,ps00027,,,,,,,27,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-5,ps00027,,,,,,,48,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-6,ps00027,,,,,,,38,,,24mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-7,ps00027,,,,,,,38,,,36mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-8,ps00027,,,,,,,38,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00027-9,ps00027,,,,,,,75,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
