Type,Sku,parent_sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
variation,ps00029,,Automotive/High Temperature Masking Tape,,Automotive/High Temperature Masking Tape,"High Temperature Automotive Masking Tape is a deep colored saturated crepe paper premium masking tape coated with a cross-linked natural rubber resin adhesive. It offers excellent high tack as well as brilliant water and solvent resistant features. It is industrial strength and sticks instantly to most surfaces including metal, rubber, glass, and plastic. The flexibility of tape allows to shape on contours. Delivers high-quality sharp paint lines. Designed for both indoor and outdoor use and offers up to 10 to 15 days of clean removal (UV resistant). Engineered for the racing and marine fabrication industry and is designed to be residue-free even under extreme conditions. Its waterproof backing fits baking cycles up to 230F for 60 minutes.",,1,,,,,Automotive/High Temperature Masking Tape,Automotive/High Temperature Masking Tape,Tape>Masking Tape>Colored Masking Tape,https://m.media-amazon.com/images/I/71yej9zTgUL._AC_SL1500_.jpg||https://m.media-amazon.com/images/I/61d8unwKCPL._AC_SL1380_.jpg||https://m.media-amazon.com/images/I/71yej9zTgUL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-1,ps00029,,,,,,,43,,,48mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-2,ps00029,,,,,,,34,,,24mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-3,ps00029,,,,,,,34,,,36mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-4,ps00029,,,,,,,34,,,72mmX20yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-5,ps00029,,,,,,,60,,,48mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-6,ps00029,,,,,,,46,,,24mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-7,ps00029,,,,,,,46,,,36mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-8,ps00029,,,,,,,46,,,72mmX30yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-9,ps00029,,,,,,,90,,,48mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-10,ps00029,,,,,,,72,,,24mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-11,ps00029,,,,,,,72,,,36mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ps00029-12,ps00029,,,,,,,72,,,72mmX50yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
