Type,Sku,supplier_sku,supplier_name,Name,Brand Name,Short Description,Description,Part Number,In stock,Regular Price,_supplier_price,New Category Path,Special Price,min_order,sale_term,Focus Keyword,Meta _Description,Estimated Dispatch,,Images,datasheet_pdf,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,Civil Defence Approved,,product_url
,pack-0001,,,"3M 250 Crepe Flatback Masking Tape, 1"" X 60 Yds., 5.9 Mil Thick",,"3M 250 Crepe Flatback Masking Tape, 1"" X 60 Yds., 5.9 Mil Thick","1"" x 60 yds. 3M 250 Crepe Flatback Masking Tape has a heavy thickness that allows for good paint lines. This pressure sensitive tape adheres instantly and is solvent and moisture resistant. Tape will remove cleanly from stainless steel and powder coated products. Stiff backing allows for easy positioning. Tape features a natural rubber adhesive and can withstand temperatures of up to 250° F for 30 minutes. 5.9 Mil thick.",,36,10085.3,,Tapes>Masking Tape>Flatback Tape,,,,,"3M 250 Crepe Flatback Masking Tape, 1"" X 60 Yds., 5.9 Mil Thick",,,https://www.thepackagingcompany.com/media/catalog/product/cache/2/image/626x/040ec09b1e35df139433887a97daa66f/i/m/image_69872.jpg,,Tape will remove cleanly from stainless steel and powder coated products.,Stiff backing allows for easy positioning.,5.9 Mil thick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0002,,,"3M 2460 Gold Flatback Masking Tape, 1"" X 60 Yds., 3.3 Mil Thick",,"3M 2460 Gold Flatback Masking Tape, 1"" X 60 Yds., 3.3 Mil Thick","1"" x 60 yds. 3M 2460 Gold Flatback Masking Tape is great for producing straight lines in man painting applications. Tape peels off cleanly without leaving an adhesive residue and provides a sharp paint line with low paint ridge. Gold flatback tape features an acrylic adhesive, is moisture and solvent resistant, and can withstand temperatures of up to 300° F for 30 minutes. 3.3 Mil thick.",,36,1363.58,,Tapes>Masking Tape>Flatback Tape,,,,,"3M 2460 Gold Flatback Masking Tape, 1"" X 60 Yds., 3.3 Mil Thick",,,https://www.thepackagingcompany.com/media/catalog/product/cache/2/image/626x/040ec09b1e35df139433887a97daa66f/i/m/image_69865.jpg,,Tape peels off cleanly without leaving an adhesive residue and provides a sharp paint line with low paint ridge.,3.3 Mil thick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0003,,,"3M 346 Natural Flatback Masking Tape, 12"" X 60 Yds., 16.7 Mil Thick",,"3M 346 Natural Flatback Masking Tape, 12"" X 60 Yds., 16.7 Mil Thick","12"" x 60 yds. 3M 346 Natural Flatback Masking Tape is great for indoor and/or outdoor protection of plastics and metals. Heavy-duty tape will remove cleanly for up to 6 months. Tape functions optimally on surfaces between 60° and 100° F. Tape provides great surface protection and is abrasion resistant. Tape features a weather resistant backing and rubber adhesive. 16.7 Mil thick.""",,1,1623.72,,Tapes>Masking Tape>Flatback Tape,,,,,"3M 346 Natural Flatback Masking Tape, 12"" X 60 Yds., 16.7 Mil Thick",,,https://www.thepackagingcompany.com/media/catalog/product/cache/2/image/626x/040ec09b1e35df139433887a97daa66f/i/m/image_69833.jpg,,Tape provides great surface protection and is abrasion resistant.,Tape features a weather resistant backing and rubber adhesive.,16.7 Mil thick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0004,,,Phoenix M-1 Gummed Tape Dispenser,,Phoenix M-1 Gummed Tape Dispenser,"Phoenix M-1 manual gummed tape dispenser designed to feed, moisten and cut water activated tape for case sealing applications. Designed as a durable, hassle-free solution for use with tapes ranging in width from 1.5"" to 3"", the M-1 dispenser can dispense tape lengths up to 30"" with a single pull of the handle - and longer lengths with multiple pulls - to deliver professionally sealed packages.",,,1578.55,,Tapes>Dispensers>Gummed Tape Dispenser,,,,,Phoenix M-1 Gummed Tape Dispenser,,,https://i2.wp.com/www.shurtape.com/wp-content/uploads/imported-files/lewfordoxgohvjhzqodc.png,,Glue is easily activated by double moistening brushes.,"Easy to pull, clean knife cut, length control and water level control.",Constructed of sturdy steel and built to last.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0005,,,Better Pack 333 Manual Gummed Tape Dispenser,,Better Pack 333 Manual Gummed Tape Dispenser,"The Better Pack is the most popular manual water activated tape dispenser in the world! Rugged steel side frames ensure long life. Hardened guillotine cutting blades eliminate tearing action found on competitive models. Water brush system ensures uniform wetting. Easy pull handle dispenses up to 30"" (76cm); repeat strokes provide longer lengths. Compare with our other gummed tape dispensers.",,,1125.45,,Tapes>Dispensers>Gummed Tape Dispenser,,,,,Better Pack 333 Manual Gummed Tape Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/better-pack-333-plus-lever-gum-tape-dispenser_2000x.jpg,,"Designed for nonreinforced gummed tape or reinforced gummed tape 1-1/2 to 3"" (4-7cm) wide.",Ideal for use with our complete line of quality gummed tape.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0006,,,Marsh TD2100 Manual Gummed Tape Dispenser,,Marsh TD2100 Manual Gummed Tape Dispenser,"The Marsh Manual TD2100 features 12 gauge, all metal, uni-body chassis construction. It provides a 70 oz. water bottle for fewer refills as well as a stainless steel guillotine style cutter for long life and minimal cleaning. With the Marsh 5HT no longer in production, its new and improved replacement, the Marsh TD2100 is a quality unit at an affordable price.",,,1209.21,,Tapes>Dispensers>Gummed Tape Dispenser,,,,,Marsh TD2100 Manual Gummed Tape Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/marsh-td2100-manual-paper-gum-tape-dispenser_2000x.jpg,,"Easy pull handle for variable tape lengths; 5"" - 36"" (12.7 cm to 91.4 cm) in a single pull.",Longer lengths by additional pull.,The handle returns itself and tape is cut off automatically.,Adjustable cushioned stop for repeat cut off of desired lengths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0007,,,Packer 3 Pull & Tear Gummed Tape Dispenser,,Packer 3 Pull & Tear Gummed Tape Dispenser,"Better Packages Packer 3s Pull & Tear Machine. Simple pull and tear paper gum tape dispenser. Ideal for low volume use. Fits 1"" to 3"" tape widths. Unique ""subway feed"" for uniform tension to aid in tape moistening.",,,715.38,,Tapes>Dispensers>Gummed Tape Dispenser,,,,,Packer 3 Pull & Tear Gummed Tape Dispenser,,,https://m.media-amazon.com/images/I/81+4q0HrCJL._SL1500_.jpg,,Simple pull and tear paper gum tape dispenser.,Ideal for low volume use.,"Fits 1"" to 3"" tape widths.","Unique ""subway feed"" for uniform tension to aid in tape moistening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0008,,,3M H38 Stretchable Tape Dispenser,,3M H38 Stretchable Tape Dispenser,"Made with durable, lightweight materials for quick, easy taping. Dispenses tape in one motion for effective bundling and packaging. Comfortable design allows for easy stretching of the tape.",,,331.319,,Tapes>Dispensers>Stretchable Tape Dispenser,,,,,3M H38 Stretchable Tape Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-h38-stretchable-tape-dispenser_2000x.jpg,,Strength/Material: Plastic,Style: Stretchable Tape Dispenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0009,,,3M P56W Multi-Roll Table Top Dispenser,,3M P56W Multi-Roll Table Top Dispenser,"3M P56W Multi-Roll Table Top Dispenser. Ideal for carton sealing, masking and other pressure sensitive tapes. Maximum tape width capacity is 6"". Weighted 11# base for stability. Plastic construction.",,,437.94,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,3M P56W Multi-Roll Table Top Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-p56w-multi-roll-table-top-dispenser_2000x.jpg,,"Maximum tape width capacity is 6"".","Ideal for carton sealing, masking and other pressure sensitive tapes.",Plastic construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-0010,,,3M HB900 Single Roll Table Top Dispenser,,3M HB900 Single Roll Table Top Dispenser,"3M HB900 Single Roll Table Top Dispenser. Features weighted, slip proof base for one handed operation. Handles 1"" tape on a 3"" core. Sturdy and economical.",,,68.893,,Tapes>Dispensers>Table Top Tape Dispenser,,,,,3M HB900 Single Roll Table Top Dispenser,,,https://cdn.shopify.com/s/files/1/2618/8176/products/3m-hb900-single-roll-table-top-dispenser_2000x.jpg,,"Handles 1"" tape on a 3"" core.","Features weighted, slip proof base for one handed operation.",Sturdy and economical.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
