Type,Sku,Name/Product Title,Manufacture Name,Short Description,Description,Part Number,In stock,Regular Price,Special Price,product_code,pcs,tag,color,size,Focus Keyword,Meta _Description,Categories,Images,Features_1,Features_2,Features_3,Features_4,Features_5,Features_6,Features_7,Features_8,Features_9,Features_10,specification_1,specification_2,specification_3,specification_4,specification_5,specification_6,specification_7,specification_8,specification_9,specification_10,specification_11,specification_12,specification_13,specification_14,specification_15,specification_16,specification_17,specification_18,specification_19,specification_20,wpbm_choose_badge
,pack-9-0002,E-commerce Mailer Box-XXSmall -18 x 15 x 4.5 CM - Brown,,E-commerce Mailer Box  -XXSmall -18 x 15 x 4.5 CM - Brown -,"E-commerce Mailer Box  -XXSmall -18 x 15 x 4.5 CM - Brown - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.

 ",,1,175,157.5,,100,,,18 x 15 x 4.5 CM,E-commerce Mailer Box-XXSmall -18 x 15 x 4.5 CM - Brown,E-commerce Mailer Box  -XXSmall -18 x 15 x 4.5 CM - Brown -, E-Commerce Packaging > Mailer 3 - 1MM Thickness,"/e-commerce-mailer-box-xx-small-18-x-15-x-4.5-cm-brown.jpg,/e-commerce-mailer-box-xx-small-18-x-15-x-4.5-cm-brown-1.jpg,/e-commerce-mailer-box-xx-small-18-x-15-x-4.5-cm-brown-2.jpg",Inside Size: 165 x 145 x 45  MM (Length x Width x Height),Outside Size: 180 x 150 x 45  MM (Length x Width x Height),"Material Thickness 1.8 MM""",Color: Brown,Quantity:100Pcs,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0003,"E-Commerce Small Box, 100 Psc -Brown",,"E-Commerce Small Box, 100 Psc -Brown","E-Commerce Small Box, 100 Psc -Brown - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,250,225,,100,,,,"E-Commerce Small Box, 100 Psc -Brown","E-Commerce Small Box, 100 Psc -Brown", E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-small-box-100-psc-brown.jpg,/e-commerce-small-box-100-psc-brown-1.jpg",Inside Size: 150 x 140 x 80  MM (Length x Width x Height),Outside Size: 178 x 145 x 84  MM (Length x Width x Height),"Material Thickness 2.5MM""",Pack of 100Psc,High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0004,"E-Commerce Mailer Boxes 1Box Brown, 100 PCS - 20 x 15 x 10 CM",,"E-Commerce Mailer Boxes 1Box Brown, 100 PCS - 20 x 15 x 10 CM","E-Commerce Mailer Boxes 1Box Brown, 100 PCS - 20 x 15 x 10 CM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,250,225,,100,,,20x15x10CM,"E-Commerce Mailer Boxes 1Box Brown, 100 PCS - 20 x 15 x 10 CM","E-Commerce Mailer Boxes 1Box Brown, 100 PCS - 20 x 15 x 10 CM", E-Commerce Packaging > Mailer 3 - 1MM Thickness,"/e-commerce-mailer-boxes-1box-brown-100-pcs-20-x-15-x-10-cm.jpg,/e-commerce-mailer-boxes-1box-brown-100-pcs-20-x-15-x-10-cm-1.jpg,/e-commerce-mailer-boxes-1box-brown-100-pcs-20-x-15-x-10-cm-2.jpg",Inside Size: 187 x 148 x 100  MM (Length x Width x Height),Outside Size: 205 x 153 x 103  MM (Length x Width x Height),"Material Thickness 1.8 MM""",Color: Brown,High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0005,"E-Commerce Boxes - Mailer-2 Box, 100 PCS - 23 x 18 x 6 CM",,"E-Commerce Boxes - Mailer-2 Box, 100 PCS - 23 x 18 x 6 CM","E-Commerce Boxes - Mailer-2 Box, 100 PCS - 23 x 18 x 6 CM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,250,225,,100,,,23x18x6 CM,"E-Commerce Boxes - Mailer-2 Box, 100 PCS - 23 x 18 x 6 CM","E-Commerce Boxes - Mailer-2 Box, 100 PCS - 23 x 18 x 6 CM", E-Commerce Packaging > Mailer 3 - 1MM Thickness,"/e-commerce-boxes-mailer-2-box-100-pcs-23-x-18-x-6-cm.jpg,/e-commerce-boxes-mailer-2-box-100-pcs-23-x-18-x-6-cm-1.jpg",Inner Size: 230 x 180 x 60  MM ,Outer Size: 245 x 185 x 63  MM ,"Material Thickness 1.8 MM""","Color: Outside White, Inside White",High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0006,"E-Commerce Mailer-3, Brown, 100 PCS - 25 x 20 x 15 CM",,"E-Commerce Mailer-3, Brown, 100 PCS - 25 x 20 x 15 CM","E-Commerce Mailer-3, Brown, 100 PCS - 25 x 20 x 15 CM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,325,292.5,,100,,,25x20x15CM,"E-Commerce Mailer-3, Brown, 100 PCS - 25 x 20 x 15 CM","E-Commerce Mailer-3, Brown, 100 PCS - 25 x 20 x 15 CM", E-Commerce Packaging > Mailer 3 - 1MM Thickness,"/e-commerce-mailer-3-brown-100-pcs-25-x-20-x-15-cm.jpg,/e-commerce-mailer-3-brown-100-pcs-25-x-20-x-15-cm-1.jpg",Inside Size: 255 x 205 x 155  MM (Length x Width x Height),Outside Size: 275 x 210 x 160  MM (Length x Width x Height),"Material Thickness 1.8 MM""",Color: Brown,Quantity :100Pcs,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0007,"E-Commerce Boxes Medium, 100 PCS - 25 x 20 x 7CM",,"E-Commerce Boxes Medium, 100 PCS - 25 x 20 x 7CM","E-Commerce Boxes Medium, 100 PCS - 25 x 20 x 7CM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,325,292.5,,100,,,25x20x7CM,"E-Commerce Boxes Medium, 100 PCS - 25 x 20 x 7CM","E-Commerce Boxes Medium, 100 PCS - 25 x 20 x 7CM", E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-boxes-medium-100-pcs-25-x-20-x-7cm.jpg,/e-commerce-boxes-medium-100-pcs-25-x-20-x-7cm-1.jpg,/e-commerce-boxes-medium-100-pcs-25-x-20-x-7cm-2.jpg",Inside Size: 250 x 198 x 70  MM (Length x Width x Height),Outside Size: 275 x 208 x 74  MM (Length x Width x Height),"Material Thickness 2.5MM""",Color: Brown,High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0008,"E-Commerce Boxes Medium-2, 100 PCS - 31 x 23 x 13CM",,"E-Commerce Boxes Medium-2, 100 PCS - 31 x 23 x 13CM","E-Commerce Boxes Medium-2, 100 PCS - 31 x 23 x 13CM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,425,382.5,,100,,,31x23x13CM,"E-Commerce Boxes Medium-2, 100 PCS - 31 x 23 x 13CM","E-Commerce Boxes Medium-2, 100 PCS - 31 x 23 x 13CM", E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-boxes-medium-2-100-pcs-31-x-23-x-13-cm.jpg,/e-commerce-boxes-medium-2-100-pcs-31-x-23-x-13-cm-1.jpg",Inside Size: 295 x 220 x 125  MM (Length x Width x Height),Outside Size: 310 x 230 x 130  MM (Length x Width x Height),"Material Thickness 2MM""","Color: Outside White, Inside Brown",Pack Of 100 Psc,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0009,"E-Commerce Boxes Large, 100 PCS - 365 x 255 x 150  MM ",,"E-Commerce Boxes Large, 100 PCS - 365 x 255 x 150  MM ","E-Commerce Boxes Large, 100 PCS - 365 x 255 x 150 MM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.",,1,450,405,,100,,,65 x 255 x 150  MM ,"E-Commerce Boxes Large, 100 PCS - 365 x 255 x 150  MM ","E-Commerce Boxes Large, 100 PCS - 365 x 255 x 150  MM ", E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-boxes-large-100-pcs-365-x-255-x-150-mm.jpg,/e-commerce-boxes-large-100-pcs-365-x-255-x-150-mm-1.jpg ",Inside Size: 340 x 250 x 150  MM (Length x Width x Height),Outside Size: 365 x 255 x 150  MM (Length x Width x Height),Material Thickness 2.5MM”,"Color: Outside White, Inside Brown",High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0010,E-Commerce Boxes Xlarge - 460 x 290 x 128 MM,,E-Commerce Boxes Xlarge - 460 x 290 x 128 MM,E-Commerce Boxes Xlarge - 460 x 290 x 128 MM - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.,,1,550,495,,100,,, 460 x 290 x 128 MM,E-Commerce Boxes Xlarge - 460 x 290 x 128 MM,E-Commerce Boxes Xlarge - 460 x 290 x 128 MM, E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-boxes-xlarge-460-x-290-x-128-mm.jpg,/e-commerce-boxes-xlarge-460-x-290-x-128-mm-1.jpg",Inside Size: 432 x 280 x 125  MM (Length x Width x Height),Outside Size: 460 x 290 x 128  MM (Length x Width x Height),"Material Thickness 2MM""","Color: Outside White, Inside Brown",High-quality boxes made from corrugated material,,,,,,,,,,,,,,,,,,,,,,,,,,
,pack-9-0011,E-Commerce Boxes XXLarge - 100 PCS,,E-Commerce Boxes XXLarge - 100 PCS,E-Commerce Boxes XXLarge - 100 PCS - These E-Commerce shipping boxes/Mailer boxes/Postal boxes make your packaging look quite professional and even provide safety to your product on the inside. E-Commerce shipping boxes/Mailer boxes/Postal boxes are high-quality boxes made from corrugated material and these are 100% Recyclable. It’s always idle to be having spare Empty boxes at home or say office space you never know when one might need these empty boxes.,,1,650,585,,100,,,,E-Commerce Boxes XXLarge - 100 PCS,E-Commerce Boxes XXLarge - 100 PCS, E-Commerce Packaging > E-Commerce 2MM Square,"/e-commerce-boxes-xx-large-100-pcs.jpg,/e-commerce-boxes-xx-large-100-pcs-1.jpg",Inside Size: 530 x 400 x 130  MM (Length x Width x Height),Outside Size: 560 x 400 x 130  MM (Length x Width x Height),"Material Thickness 2.5MM""","Color: Outside White, Inside Brown",Pack of 100 Boxes,,,,,,,,,,,,,,,,,,,,,,,,,,
